Pos_Norris,Pos_Verstappen,Pos_Piastri,Ptos_Norris,Ptos_Verstappen,Ptos_Piastri
1,2,3,433,414,407
1,2,4,433,414,404
1,2,5,433,414,402
1,2,6,433,414,400
1,2,7,433,414,398
1,2,8,433,414,396
1,2,9,433,414,394
1,2,10,433,414,393
1,2,11+,433,414,392
1,3,2,433,411,410
1,3,4,433,411,404
1,3,5,433,411,402
1,3,6,433,411,400
1,3,7,433,411,398
1,3,8,433,411,396
1,3,9,433,411,394
1,3,10,433,411,393
1,3,11+,433,411,392
1,4,2,433,408,410
1,4,3,433,408,407
1,4,5,433,408,402
1,4,6,433,408,400
1,4,7,433,408,398
1,4,8,433,408,396
1,4,9,433,408,394
1,4,10,433,408,393
1,4,11+,433,408,392
1,5,2,433,406,410
1,5,3,433,406,407
1,5,4,433,406,404
1,5,6,433,406,400
1,5,7,433,406,398
1,5,8,433,406,396
1,5,9,433,406,394
1,5,10,433,406,393
1,5,11+,433,406,392
1,6,2,433,404,410
1,6,3,433,404,407
1,6,4,433,404,404
1,6,5,433,404,402
1,6,7,433,404,398
1,6,8,433,404,396
1,6,9,433,404,394
1,6,10,433,404,393
1,6,11+,433,404,392
1,7,2,433,402,410
1,7,3,433,402,407
1,7,4,433,402,404
1,7,5,433,402,402
1,7,6,433,402,400
1,7,8,433,402,396
1,7,9,433,402,394
1,7,10,433,402,393
1,7,11+,433,402,392
1,8,2,433,400,410
1,8,3,433,400,407
1,8,4,433,400,404
1,8,5,433,400,402
1,8,6,433,400,400
1,8,7,433,400,398
1,8,9,433,400,394
1,8,10,433,400,393
1,8,11+,433,400,392
1,9,2,433,398,410
1,9,3,433,398,407
1,9,4,433,398,404
1,9,5,433,398,402
1,9,6,433,398,400
1,9,7,433,398,398
1,9,8,433,398,396
1,9,10,433,398,393
1,9,11+,433,398,392
1,10,2,433,397,410
1,10,3,433,397,407
1,10,4,433,397,404
1,10,5,433,397,402
1,10,6,433,397,400
1,10,7,433,397,398
1,10,8,433,397,396
1,10,9,433,397,394
1,10,11+,433,397,392
1,11+,2,433,396,410
1,11+,3,433,396,407
1,11+,4,433,396,404
1,11+,5,433,396,402
1,11+,6,433,396,400
1,11+,7,433,396,398
1,11+,8,433,396,396
1,11+,9,433,396,394
1,11+,10,433,396,393
1,11+,11+,433,396,392
2,1,3,426,421,407
2,1,4,426,421,404
2,1,5,426,421,402
2,1,6,426,421,400
2,1,7,426,421,398
2,1,8,426,421,396
2,1,9,426,421,394
2,1,10,426,421,393
2,1,11+,426,421,392
2,3,1,426,411,417
2,3,4,426,411,404
2,3,5,426,411,402
2,3,6,426,411,400
2,3,7,426,411,398
2,3,8,426,411,396
2,3,9,426,411,394
2,3,10,426,411,393
2,3,11+,426,411,392
2,4,1,426,408,417
2,4,3,426,408,407
2,4,5,426,408,402
2,4,6,426,408,400
2,4,7,426,408,398
2,4,8,426,408,396
2,4,9,426,408,394
2,4,10,426,408,393
2,4,11+,426,408,392
2,5,1,426,406,417
2,5,3,426,406,407
2,5,4,426,406,404
2,5,6,426,406,400
2,5,7,426,406,398
2,5,8,426,406,396
2,5,9,426,406,394
2,5,10,426,406,393
2,5,11+,426,406,392
2,6,1,426,404,417
2,6,3,426,404,407
2,6,4,426,404,404
2,6,5,426,404,402
2,6,7,426,404,398
2,6,8,426,404,396
2,6,9,426,404,394
2,6,10,426,404,393
2,6,11+,426,404,392
2,7,1,426,402,417
2,7,3,426,402,407
2,7,4,426,402,404
2,7,5,426,402,402
2,7,6,426,402,400
2,7,8,426,402,396
2,7,9,426,402,394
2,7,10,426,402,393
2,7,11+,426,402,392
