Pos_Norris,Pos_Verstappen,Pos_Piastri,Ptos_Norris,Ptos_Verstappen,Ptos_Piastri
6,2,1,416,414,417
6,3,1,416,411,417
6,4,1,416,408,417
6,5,1,416,406,417
6,7,1,416,402,417
6,8,1,416,400,417
6,9,1,416,398,417
6,10,1,416,397,417
6,11+,1,416,396,417
7,2,1,414,414,417
7,3,1,414,411,417
7,4,1,414,408,417
7,5,1,414,406,417
7,6,1,414,404,417
7,8,1,414,400,417
7,9,1,414,398,417
7,10,1,414,397,417
7,11+,1,414,396,417
8,2,1,412,414,417
8,3,1,412,411,417
8,4,1,412,408,417
8,5,1,412,406,417
8,6,1,412,404,417
8,7,1,412,402,417
8,9,1,412,398,417
8,10,1,412,397,417
8,11+,1,412,396,417
9,2,1,410,414,417
9,3,1,410,411,417
9,4,1,410,408,417
9,5,1,410,406,417
9,6,1,410,404,417
9,7,1,410,402,417
9,8,1,410,400,417
9,10,1,410,397,417
9,11+,1,410,396,417
10,2,1,409,414,417
10,3,1,409,411,417
10,4,1,409,408,417
10,4,2,409,408,410
10,5,1,409,406,417
10,5,2,409,406,410
10,6,1,409,404,417
10,6,2,409,404,410
10,7,1,409,402,417
10,7,2,409,402,410
10,8,1,409,400,417
10,8,2,409,400,410
10,9,1,409,398,417
10,9,2,409,398,410
10,11+,1,409,396,417
10,11+,2,409,396,410
11+,2,1,408,414,417
11+,3,1,408,411,417
11+,4,1,408,408,417
11+,4,2,408,408,410
11+,5,1,408,406,417
11+,5,2,408,406,410
11+,6,1,408,404,417
11+,6,2,408,404,410
11+,7,1,408,402,417
11+,7,2,408,402,410
11+,8,1,408,400,417
11+,8,2,408,400,410
11+,9,1,408,398,417
11+,9,2,408,398,410
11+,10,1,408,397,417
11+,10,2,408,397,410
11+,11+,1,408,396,417
11+,11+,2,408,396,410
